"","MD1-R-EB","MD2-R-EB","MD3-R-EB","MD4-R-EB","MD5-R-EB","MD6-R-EB","MD7-R-EB","MD8-R-EB","MD9-R-EB","MD10-R-EB","MD11-R-EB","MD12-R-EB"
"Snord64",8,7,6,3,30,16,18,28,29,15,0,1
"Snord65",56,69,61,29,99,51,83,80,57,35,40,24
"Snord66",10,11,8,7,12,4,15,16,6,13,27,14
"Snord67",0,4,3,0,5,2,1,3,4,4,2,2
"Snord68",43,39,37,37,56,14,58,43,29,37,37,28
"Snord69",10,11,21,9,38,18,17,41,16,10,6,9
"Snord7",0,0,0,0,0,0,0,0,0,0,0,0
"Snord70",12,15,13,14,10,8,15,10,13,5,0,0
"Snord71",11,10,15,7,28,12,10,33,22,30,27,28
"Snord72",28,35,30,21,66,29,36,42,35,20,1,9
"Snord73a",25,27,28,20,52,15,29,33,18,18,15,13
"Snord8",6,5,4,1,11,4,12,7,9,9,6,3
"Snord82",20,31,20,24,45,26,60,46,27,21,25,21
"Snord83b",88,107,90,92,167,47,168,149,96,74,74,56
"Snord85",8,7,1,4,6,7,6,9,2,6,2,4
"Snord87",36,52,51,31,70,33,49,74,52,40,9,11
"Snord88a",15,34,24,22,26,10,28,33,29,30,26,20
"Snord88c",27,32,28,21,30,11,29,39,35,27,15,20
"Snord89",3,2,3,4,4,3,1,5,5,3,3,12
"Snord90",2,4,1,0,2,0,1,6,1,1,0,0
"Snord91a",6,11,9,7,24,7,12,13,11,4,5,6
"Snord92",12,10,11,12,11,3,15,13,12,9,17,13
"Snord93",10,13,13,14,9,8,17,23,16,9,13,10
"Snord95",43,79,68,54,88,31,77,85,64,64,45,49
"Snord96a",90,141,90,71,109,60,111,119,87,78,71,50
"Snord98",5,5,4,2,7,3,2,8,7,5,1,2
"Snord99",70,101,67,53,76,29,91,71,67,56,23,44
"Snph",4,3,5,5,172,87,180,177,190,146,215,179
"Snrk",322,313,252,260,649,315,617,715,702,772,724,895
"Snrnp200",13656,15364,13118,10347,14733,7918,13232,15028,13600,13540,14835,14759
"Snrnp25",348,479,373,276,507,274,445,476,451,589,423,410
"Snrnp27",1031,949,958,773,1186,553,1162,1384,1089,1231,1186,1023
"Snrnp35",93,155,131,110,138,60,126,174,157,171,193,119
"Snrnp40",2390,2969,2708,2115,2799,1328,2548,3065,2073,2000,2235,2177
"Snrnp48",1188,1437,1206,935,1515,722,1320,1521,1272,1487,1489,1398
"Snrnp70",5760,7919,6982,5941,8799,3828,8065,9497,6774,7158,10405,8687
"Snrpa",3516,3991,3331,2559,3706,1846,3432,4131,3460,3399,3732,3748
"Snrpa1",3081,3542,2863,2210,2886,1367,2484,2801,2538,2460,2286,2162
"Snrpb",2069,3150,3159,2393,6027,2709,5038,6018,4508,4396,4893,4680
"Snrpb2",2767,3291,2773,2228,3772,1742,2788,3254,2503,2585,1889,1737
"Snrpc",1925,2257,1954,1564,2282,1177,2052,2350,1901,1936,2077,2307
"Snrpd1",3177,4291,3768,3159,5596,2303,4271,4806,3794,3828,3787,3369
"Snrpd2",1658,2743,2324,1926,2504,1046,2049,2593,2000,1909,1993,2032
"Snrpd3",3460,4480,3663,2898,4616,1988,3779,4538,3672,3808,3833,3524
"Snrpe",2703,3661,3093,2423,4031,1819,3122,3784,2845,2668,1930,2007
"Snrpf",2732,4233,3537,3033,4990,2130,4041,4665,3540,3444,4330,3815
"Snrpg",1314,1840,1999,1694,2304,902,2070,2448,1789,1834,1619,1683
"Snrpn",0,3,0,1,1,0,1,0,0,0,0,1
"Snta1",251,307,261,211,472,215,457,446,253,187,236,170
"Sntb1",82,78,66,62,131,66,96,127,110,78,82,68
"Sntb2",2365,2417,2042,1587,1697,879,1649,2022,1205,1051,1188,1166
"Sntg1",12,5,2,12,5,3,6,5,11,4,9,7
"Sntg2",1,2,2,1,5,8,1,2,4,4,2,5
"Sntn",0,0,0,0,0,0,0,0,0,0,0,0
"Snu13",5960,6373,5405,4455,5634,2775,5008,5740,4474,4304,3909,3855
"Snupn",362,399,305,321,287,141,231,280,270,244,262,255
"Snurf",0,0,0,0,0,0,0,0,0,0,0,0
"Snw1",3490,4083,3605,2950,4830,2246,4067,4877,3592,3696,3889,3871
"Snx1",959,1034,849,660,1168,647,1098,1269,1269,1669,1774,2109
"Snx10",1316,1526,1574,1183,2124,1045,1998,2503,1663,1399,976,941
"Snx11",288,464,427,372,505,246,387,535,356,332,270,329
"Snx12",711,882,683,568,1589,796,1467,1680,1187,1224,1096,1422
"Snx13",949,873,825,614,1375,703,1223,1490,1161,1247,962,953
"Snx14",1091,912,907,770,1104,493,945,1127,822,902,942,927
"Snx15",196,225,181,168,246,138,238,294,191,213,206,239
"Snx16",299,322,274,243,615,320,527,653,373,335,283,268
"Snx17",988,1177,1043,834,1412,616,1126,1320,1211,1316,1584,1930
"Snx18",3707,3550,3028,2581,2673,1355,2590,3275,2343,2216,2394,2508
"Snx19",492,559,509,387,949,490,858,947,986,996,1017,1082
"Snx2",3227,3354,2703,2212,3569,1732,3156,3905,2536,2928,2775,3156
"Snx20",3,4,3,2,5,1,3,4,1,3,3,4
"Snx21",49,55,67,39,163,85,197,265,168,261,404,423
"Snx22",16,15,12,12,22,7,16,14,11,10,21,10
"Snx24",126,139,118,104,182,121,136,163,170,278,291,474
"Snx25",339,325,274,249,613,238,547,681,496,727,735,890
"Snx27",3358,3764,3153,2499,4463,2349,4046,4736,3797,4031,3701,3717
"Snx29",113,167,163,120,265,150,290,356,223,233,242,263
"Snx3",2383,2410,2164,1758,2704,1454,2760,3334,2190,2442,3099,3237
"Snx30",764,855,838,694,2086,1070,1785,2173,1286,1299,1501,1862
"Snx31",13,30,8,11,22,18,22,14,18,6,7,2
"Snx32",31,32,31,24,88,20,71,86,84,94,94,160
"Snx33",79,105,112,100,324,150,355,417,529,734,987,1305
"Snx4",2057,2137,1825,1365,2370,1169,2138,2521,1984,2190,2481,2869
"Snx5",12403,14343,12567,10026,12258,6230,10641,12976,9485,8975,8447,8452
"Snx6",1812,1815,1624,1261,1800,949,1539,1873,1908,2410,1966,2273
"Snx7",105,94,120,88,305,133,246,311,190,254,240,223
"Snx8",369,502,488,414,1249,570,1134,1460,740,673,840,910
"Snx9",724,669,564,440,1144,466,1064,1217,972,896,1090,1189
"Soat1",1242,1236,1196,914,6636,3137,6376,7171,6472,8186,7567,8572
"Soat2",88,113,95,54,42,12,23,24,43,24,18,38
"Sobp",20,34,10,13,209,97,109,151,259,136,119,110
