ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,MD9-R-EB,MD10-R-EB,MD11-R-EB,MD12-R-EB
Emilin2,215.1968321,-1.42527999,0.348669555,-4.087767257,4.36E-05,0.001077281,351.3570805,275.9949946,140.2858425,93.14941066
Eno2,563.108735,-1.005060475,0.286424672,-3.508987082,0.000449817,0.006816844,786.1857326,717.3877116,460.0983226,288.763173
Entpd1,35.2332899,-2.586252722,0.664954605,-3.889367337,0.000100506,0.002170194,65.03017788,55.79682201,10.79121865,9.314941066
Epha7,1405.911939,1.467288271,0.223209561,6.573590607,4.91E-11,7.41E-09,631.8603851,861.8616257,1875.710006,2254.215738
Epn3,68.21327065,-1.866830985,0.512742665,-3.640873115,0.000271715,0.004686673,118.4131597,95.65169488,22.56345719,36.22477081
Eps8l1,161.7027929,-1.157581458,0.3341824,-3.463921069,0.000532363,0.007719781,253.3265138,193.2961334,104.9691269,95.21939756
Eps8l2,289.2830657,-1.114786756,0.276565648,-4.030821491,5.56E-05,0.001332632,436.7698514,354.7083685,163.8303196,201.8237231
Erdr1,237.9579212,-1.13094525,0.310726675,-3.639678665,0.000272978,0.00468946,349.4158812,303.8934056,123.6085046,174.9138933
Esco2,2124.530547,1.106084037,0.145323531,7.611183324,2.72E-14,8.20E-12,1339.427544,1356.062049,2719.387101,3083.245493
EU599041,186.729747,1.978477948,0.645220695,3.066358478,0.002166834,0.02160099,47.55938382,103.6226695,139.3048226,456.4321122
Exoc3l2,241.0426338,-1.480986234,0.450211798,-3.289532258,0.001003541,0.012410843,390.1810673,319.8353547,177.5645979,76.58951543
Extl1,82.34111953,-1.807342037,0.473299373,-3.81860222,0.00013421,0.002719315,143.6487511,112.5900158,44.1458945,28.97981665
Fabp7,150.7378205,2.092118546,0.469988564,4.451424372,8.53E-06,0.000292063,36.88278746,77.71700209,209.9382538,278.4132385
Fam111a,283.2286059,1.085749433,0.235455881,4.611264872,4.00E-06,0.000156347,181.5021383,181.3396715,394.3699908,375.702623
Fam171b,622.4684569,1.372952675,0.447122266,3.070642594,0.002135987,0.021361311,221.2967247,472.2802435,610.1943639,1186.102496
Fat4,390.9920203,-1.244440459,0.35753445,-3.480616932,0.00050026,0.007340627,640.5957821,459.3274098,294.3059633,169.7389261
Fev,64.74166798,-2.597373748,0.761900053,-3.409074114,0.000651838,0.008935432,106.7659637,115.5791313,30.41161621,6.20996071
Fez1,67.38460504,2.225432489,0.690430161,3.22325503,0.001267427,0.014650379,11.64719604,35.86938558,84.36770948,137.6541291
Fgd5,1151.28701,-1.069026802,0.398308766,-2.683914826,0.007276564,0.04994323,1755.814803,1363.036652,1052.634329,433.6622563
Fgf14,34.43696044,2.952265952,0.78290635,3.770905614,0.000162656,0.00316976,6.794197689,8.967346395,40.22181498,81.76448269
Fgfr2,1763.424969,-1.225294552,0.282869025,-4.33166746,1.48E-05,0.000451306,3091.359949,1849.266101,1173.299774,939.7740542
Fgfr3,218.7711675,-1.443174316,0.493256061,-2.925811623,0.003435589,0.030344222,443.5640491,196.2852489,145.1909419,90.0444303
Fmn2,293.5620223,1.417151095,0.484644059,2.924107021,0.00345446,0.030468045,109.6777627,210.2344544,273.7045459,580.6313264
Foxf2,37.94431588,-2.65273693,0.984698193,-2.693959375,0.007060877,0.048889318,94.14816798,36.8657574,17.6583578,3.104980355
Foxg1,145.4676269,3.188385218,0.834761917,3.819514466,0.000133715,0.002716721,8.735397029,48.82221926,120.665445,403.6474462
Foxh1,3319.466389,-1.088888517,0.235792664,-4.617991503,3.87E-06,0.000152019,4880.17514,4151.881381,2553.594742,1692.214294
Foxj1,124.8535479,1.774546095,0.355858656,4.986659915,6.14E-07,3.10E-05,62.11837887,50.8149629,199.1470352,187.3338148
Foxq1,507.7502286,-1.308279214,0.411650828,-3.178128461,0.001482291,0.016361612,1011.364856,435.4144861,310.9833012,273.2382713
Frat1,636.5429266,-1.193083591,0.354337111,-3.367086185,0.000759669,0.010086419,897.8046946,873.8180876,519.9405352,254.6083891
Frmd5,408.7473795,1.114941679,0.333475397,3.343400114,0.000827585,0.010718988,213.5319274,302.8970338,437.5348654,681.0256912
Frmd6,1388.239119,-1.139851214,0.345309923,-3.300951224,0.000963576,0.01203738,2339.145204,1480.608527,1117.381641,615.8211038
Fsd1l,367.8412775,1.051060794,0.271300684,3.874154601,0.000106995,0.002283651,239.7381185,239.1292372,414.9714083,577.5263461
Fstl3,33.88886488,-1.99181145,0.652247151,-3.053767957,0.002259868,0.022156837,48.52998349,59.7823093,12.75325841,14.48990832
Fut9,582.6304418,2.915971533,0.500679976,5.82402268,5.74E-09,5.06E-07,86.38337062,186.3215306,597.4411055,1460.37576
Fzd3,2504.806112,1.26302012,0.189506802,6.664774588,2.65E-11,4.29E-09,1328.750948,1618.107838,3174.580324,3897.785339
G2e3,5044.656818,1.522351473,0.157343992,9.675307268,3.84E-22,4.06E-19,2376.027992,2834.677833,7076.096378,7891.82507
Gabra3,168.4799676,1.755078473,0.500756188,3.504856288,0.000456854,0.006881186,52.41238217,101.6299258,182.4696972,337.4078653
Gabra4,70.47355246,2.527093094,0.857292734,2.947759841,0.003200856,0.028850618,4.852998349,36.8657574,111.8362661,128.339188
Gabrb3,356.3664281,1.212578352,0.42431187,2.857752609,0.004266529,0.035059016,139.7663525,289.9442001,393.3889709,602.3661889
Gabre,764.1326459,-1.248822329,0.371686712,-3.359878864,0.000779767,0.010300216,1226.837983,924.6330505,612.1564037,292.9031468
Gata3,547.0999731,-1.587919901,0.461586345,-3.440136211,0.000581421,0.008229479,926.9226847,715.3949679,402.2181498,143.8640898
Gatm,120.4640896,1.233780834,0.364090321,3.388666938,0.000702333,0.009514896,64.05957821,79.70974573,156.9631804,181.1238541
Gca,183.3385798,2.081873376,0.484322627,4.298525943,1.72E-05,0.0005066,50.47118283,89.67346395,204.0521346,389.1575379
Gfra1,73.69099895,2.491555087,0.708057852,3.518858071,0.000433409,0.006602003,11.64719604,32.88027011,79.46261009,170.7739195
Gjb2,257.1945622,-2.824718965,0.348233125,-8.111574591,5.00E-16,1.85E-13,488.2116339,413.494306,79.46261009,47.60969878
Gjb3,420.9661897,-1.144190688,0.26978481,-4.241123467,2.22E-05,0.000624888,508.594227,650.6307995,227.5966116,297.0431206
Gjb5,99.04555741,-1.581673636,0.432597321,-3.656226147,0.000255956,0.004459174,144.6193508,152.4448887,60.82323242,38.29475771
Gk,414.1352117,1.03353573,0.28495903,3.626962554,0.000286775,0.004836587,239.7381185,303.8934056,465.003422,647.9059008
Gm10033,1257.386502,1.18243018,0.14913504,7.928587263,2.22E-15,7.62E-13,795.8917293,742.2970071,1705.993567,1785.363704
Gm10226,38.22087281,1.730913157,0.608195831,2.845979979,0.004427498,0.035922721,17.47079406,17.93469279,65.7283318,51.74967259
Gm13230,55.78267891,1.897003817,0.623093136,3.044494808,0.002330715,0.022679999,23.29439208,23.91292372,56.8991529,119.024247
Gm13436,623.1335122,-1.500025807,0.198334085,-7.563126663,3.93E-14,1.14E-11,899.745894,941.5713715,297.2490229,353.9677605
Gm14124,176.6371339,1.917074972,0.592050587,3.238025627,0.0012036,0.014162647,58.23598019,89.67346395,136.361763,422.2773283
Gm14139,97.4534576,2.213264554,0.782024039,2.830174575,0.004652261,0.037195457,22.32379241,46.82947562,59.84221254,260.8183498
