"","MD-R-EB-10","MD-R-EB-11","MD-R-EB-12","MD-R-EB-9"
"Lman2l",18.0113,17.5685,18.2915,16.0211
"Cnnm4",10.5805,14.292,13.2011,13.4389
"Gm37909",0.6898,0.8758,1.1175,0.7185
"Gm47280",0,0,0,0
"Cnnm3",33.3328,33.3733,30.9162,33.7285
"Gm38033",0,0,0,0
"Ankrd23",1.6991,2.1033,1.9305,2.0611
"Gm42417",0,0.1016,0.0546,0
"Ankrd39",5.4646,4.9262,6.112,5.3055
"Sema4c",46.966,42.7891,45.1218,41.5157
"D430040D24Rik",3.1979,2.5055,3.1859,2.0556
"Fam178b",2.442,3.2601,2.2293,4.8225
"Gm6428",0,1.0276,0.3681,0
"Gm24133",0,1.5757,0,0
"Cox5b",127.7692,161.1452,125.4677,126.5876
"Actr1b",110.2706,101.6984,96.2958,93.3726
"4933424G06Rik",0,0.0678,0.0728,0.2965
"Gm33533",0,0,0.0778,0
"Zap70",0.3063,0.6715,0.2971,0.4753
"Gm18828",0.1132,0,0,0
"Tmem131",82.8068,83.8157,87.4602,98.9517
"Gm37506",2.4033,2.4793,3.5521,3.6161
"Gm38115",1.3293,1.2734,2.1051,2.0894
"F830112A20Rik",1.9674,1.8299,2.4311,2.8752
"Rpl12-ps1",0,0.2373,0.255,0
"Vwa3b",0.096,0.2972,0.2129,0.4118
"Gm37020",0.231,0.3574,0,0.1303
"Cnga3",0.1737,0.3883,0.4493,0.294
"1700074A21Rik",0,0,0,0
"Inpp4a",15.4738,11.423,12.0545,7.0195
"4930439A04Rik",0.5322,0.6863,0.7374,0
"Gm37135",0.6436,0.8852,0.7134,0.9684
"Coa5",67.5943,65.5413,73.9547,64.2664
"Unc50",45.635,40.6401,46.7258,46.9945
"Mgat4a",2.2056,2.9634,3.5589,5.3292
"4930594C11Rik",0.2079,0.1716,0.3227,0.1877
"Gm43213",0.064,0.132,0.0709,0.0722
"2010300C02Rik",1.1512,0.9547,1.3262,0.968
"4930556I23Rik",0.2046,0.211,0,0
"4930470B04Rik",0,0,0,0
"Gm19863",0,0,0.0573,0
"Tsga10",1.2249,1.186,2.6441,2.1704
"Gm26805",0.1854,0.153,0.1644,0.0419
"Lipt1",9.2161,9.3344,9.6588,11.4716
"Mitd1",19.9755,17.5774,21.5925,19.7881
"Mrpl30",35.8663,33.739,36.1754,37.7889
"Lyg2",0,0,0,0
"Gm15457",0,0,0,0
"Lyg1",0,0,0,0
"Gm23409",0,0,0,0
"Txndc9",22.1265,20.4494,29.2985,28.9599
"Eif5b",99.1601,111.7318,109.2282,93.6199
"Rev1",32.0758,31.4605,34.6911,41.3733
"Gm37062",7.354,4.7204,10.688,12.1715
"Gm5099",0.062,0.1279,0,0
"Aff3",23.2252,25.0778,28.3786,39.7697
"Gm16150",0.8793,1.6846,1.6709,3.2602
"Gm16151",1.6135,1.6645,2.186,2.63
"Gm16152",1.2983,1.2118,1.0965,1.186
"Gm34727",0.4331,1.5638,1.6804,1.2219
"Gm38135",0,0,0,0
"2610300A13Rik",0,0,0,0
"Lonrf2",0.1831,0.2677,0.5075,1.0162
"Chst10",0.7948,1.4619,1.5284,2.6905
"Gm37707",0,0.7272,0.7815,0.3978
"Gm6621",0,0,0,0.1675
"Nms",0,0,0,0
"Pdcl3",25.9584,29.5515,33.5605,34.7166
"Gm37309",5.8712,4.831,6.1208,6.8621
"Gm37821",0,0,0,0
"Gm37091",0,0,0,0
"Mir6349",0,0,0,0
"Npas2",0.6695,0.296,0.4241,0.1619
"Gm20428",0,0,0,0
"Gm3617",0.6192,0.2129,0,0
"Rpl31",730.7801,610.3735,910.1571,918.6204
"Tbc1d8",16.3344,15.1811,18.7852,16.7795
"Gm37265",0,0.2671,0.7174,0.2921
"Gm24826",0,0,0,0
"Cnot11",72.2363,67.5448,73.7385,78.3467
"Gm15832",2.2512,3.4189,6.2385,6.1392
"Snord89",12.4974,4.2974,3.4633,7.0514
"Rnf149",45.4927,43.6401,43.5375,44.504
"Gm23722",22.0306,38.1806,23.4439,26.8496
"Gm5100",0,0,0,0
"Creg2",0.1693,0.2716,0.5421,0.382
"D930019O06Rik",0.2502,0.2904,0.0347,0.2823
"Rfx8",0.5356,0.3867,0.1187,0.4231
"Gm3646",0,0,0,0
"1700066B17Rik",0,0.1107,0,0.3631
"Map4k4",208.2253,218.2082,183.8602,143.7027
"4930456G14Rik",0,0.0889,0,0
"Il1r2",0.1201,0.0619,0.3993,0.0678
"Gm16894",0.1361,0,0.1508,0
"Gm37347",0.0746,0,0,0
"Il1r1",0.2521,0.2414,0.1197,0.5282
"Gm38070",0.053,0.0365,0.0392,0
"Il1rl2",0.0336,0.1561,0.2237,0.7401
"Gm17970",0,0,0,0
"Il1rl1",0.1496,0.1543,0.1474,0.0188
"Il18r1",0,0,0,0
"Il18rap",0.0509,0.0175,0,0.0383
"Gm35801",0,0,0,0
"Slc9a4",0,0,0,0
"Gm37435",0,0,0,0
"Slc9a2",0.0328,0.0508,0.0545,0.1111
"Gm37623",0,0,0,0
"Gm37915",0.0351,0.0362,0.0779,0
"Mfsd9",0.6035,0.6457,0.7681,0.4793
"Tmem182",0,0,0,0
"Gm5973",0,0,0,0
"4930448I06Rik",0,0,0,0
"Gm28634",0,0,0,0
"Gm29260",0,0,0,0
"Gm5267",0,0,0,0
"Gm8176",0,0,0,0
"Gm9915",0,0,0,0
"Gm29664",0,0,0,0
"Gm28175",0,0,0,0.0746
"Gm28140",0,0,0,0
"Gm37047",0,0,0,0
"Pantr1",0.0771,0.1591,0.2279,0.319
"4930420N18Rik",0,0,0,0
"Gm20646",0,0,0,0
"Pou3f3",0.3555,0.6724,1.5929,1.4544
"Pantr2",0,0.094,0.202,0.3085
"Dalir",0,0,0,0
"Mrps9",35.0257,38.4084,38.6274,35.7342
"Gm23126",4.2746,6.1735,6.6337,4.8237
"Gpr45",0.3482,0.4898,0.7369,0.8216
"Gm24001",0,0,0,0
