"","MD-R-EB-5","MD-R-EB-6","MD-R-EB-7","MD-R-EB-8"
"Nemp2",666,525,321,692
"Gm37242",17,23,12,18
"Mfsd6",348,348,163,391
"Gm29670",3,1,0,7
"Gm28650",1,1,0,0
"Inpp1",289,266,163,312
"Hibch",701,589,341,673
"Gm16107",9,4,0,5
"1700019D03Rik",1285,1181,713,1369
"Mstn",0,1,2,0
"Gm24349",0,0,0,0
"1700019A02Rik",32,31,21,35
"Pms1",1387,1224,825,1594
"Gm28777",10,5,6,11
"Ormdl1",610,512,267,669
"Gm28778",0,0,0,1
"Osgepl1",563,515,271,607
"Gm28551",7,7,8,9
"Gm18800",0,4,1,1
"Asnsd1",512,448,307,489
"Gm50478",0,0,0,0
"Gm28779",0,0,0,0
"Gm6799",0,0,0,0
"Gm6801",0,0,0,0
"Dnah7a",113,76,69,151
"Gm25240",1,0,0,0
"Stk17b",2379,1986,1329,2655
"Gm37863",0,0,0,0
"Hecw2",670,531,324,503
"Mir7681",3,0,0,1
"Gm24251",0,0,0,0
"Gm37633",3,3,1,4
"Gm25829",0,0,1,0
"Ccdc150",34,16,19,27
"Gtf3c3",3392,2989,1821,3524
"Gm34066",0,1,1,0
"Pgap1",7271,5755,4030,8048
"Gm36955",102,80,59,129
"Gm19637",1,2,3,1
"Ankrd44",131,107,63,133
"4930444A19Rik",1,9,0,4
"Gm37370",1,4,2,1
"Gm24053",1,0,0,0
"A130048G24Rik",7,2,2,6
"Sf3b1",19371,16557,10052,19891
"E330011M16Rik",2,3,2,2
"Coq10b",544,412,220,482
"Gm17971",13,14,7,15
"Hspd1",34051,29099,17014,35935
"Hspe1",3785,3483,2080,4152
"Gm5147",1,1,1,3
"Gm16581",8,9,4,8
"Mob4",2482,2102,1289,2581
"Gm6822",2,4,3,8
"Rftn2",27,21,11,26
"Gm10561",3,1,6,12
"Mars2",786,698,345,716
"Boll",32,19,12,25
"Gm8292",112,104,98,243
"Gm29138",0,0,0,0
"Gm8531",0,0,0,0
"Plcl1",2,2,7,8
"Gm38056",0,0,0,0
"Gm6644",0,0,0,0
"Gm37382",1,0,0,0
"9130227L01Rik",0,0,0,0
"Gm36986",0,0,0,0
"1700003I22Rik",0,0,0,0
"Gm28900",0,0,0,0
"Gm28240",0,0,0,0
"Hsfy2",0,0,0,0
"Satb2",332,212,75,144
"9130024F11Rik",32,11,9,13
"Gm4081",1,0,0,1
"Gm23943",0,0,0,0
"1700126A01Rik",0,1,0,0
"BC055402",0,0,0,2
"Gm5254",0,1,0,0
"4930558J18Rik",98,104,54,103
"1700066M21Rik",273,248,151,304
"Tyw5",592,512,314,587
"Maip1",628,564,330,634
"Gm22371",0,0,0,0
"Gm24014",1,0,0,0
"Gm8581",0,1,0,0
"Gm37373",1,1,0,0
"Gm17929",0,0,0,0
"Spats2l",725,577,345,755
"Gm17234",3,4,4,3
"Kctd18",902,687,381,753
"Sgo2a",3815,2944,1295,2590
"Aox1",28,18,14,15
"Aox3",55,37,3,12
"Gm24548",0,0,0,0
"Aox4",7,3,3,7
