,MD-R-EB-1,MD-R-EB-2,MD-R-EB-3,MD-R-EB-4,MD-R-EB-5,MD-R-EB-6,MD-R-EB-7,MD-R-EB-8,MD-R-EB-9,MD-R-EB-10,MD-R-EB-11,MD-R-EB-12
4921522P10Rik,69,75,56,27,80,38,49,52,21,44,77,57
Arglu1,7885,10482,8721,5153,10794,5724,6934,6766,6449,8550,10558,9131
Mir7654,0,0,0,0,0,0,0,0,0,0,0,0
Gm18393,1,2,2,0,2,8,10,7,5,2,0,0
Gm44621,0,0,0,0,0,1,0,0,1,0,0,0
Gm44626,0,0,0,0,0,0,0,0,0,0,0,0
Gm44622,0,0,0,0,0,0,0,1,0,1,0,0
Gm44515,0,0,0,1,0,0,0,0,0,0,0,0
4933430N04Rik,0,0,0,0,0,0,0,0,0,0,0,0
4930453L07Rik,0,1,0,0,0,1,1,1,0,0,0,1
Gm44516,0,1,0,0,0,1,0,1,0,1,0,0
Gm39128,0,0,0,0,0,0,0,1,0,0,0,0
Fam155a,9,20,20,6,23,1,0,0,0,17,21,32
Gm44542,0,5,1,0,1,0,0,0,0,0,1,0
Gm44541,0,4,2,1,8,0,0,0,0,3,0,3
Gm44518,1,2,2,3,2,0,0,0,0,1,0,1
4930435N07Rik,0,0,3,1,1,0,0,0,0,1,3,0
Gm44797,0,2,4,1,2,0,0,1,0,1,2,5
Gm44800,1,4,1,0,0,0,0,0,0,3,1,1
Gm44801,0,1,5,1,2,0,0,0,0,1,2,6
Gm44798,0,1,0,2,2,0,0,0,0,2,2,5
Gm44799,0,1,4,0,0,0,1,0,1,0,2,1
2900027M19Rik,1,4,4,1,7,1,0,0,0,3,5,9
Gm44802,0,0,3,1,1,0,0,0,0,0,1,0
Gm47312,0,0,0,0,0,0,0,0,0,0,0,0
Gm44761,0,0,0,0,0,0,0,0,0,0,0,0
Gm10217,0,0,0,0,0,0,0,0,0,0,0,0
Gm10067,0,0,1,0,0,0,1,1,0,0,0,0
Lig4,777,1308,1150,579,1299,677,855,933,814,780,903,1000
Abhd13,1744,2353,2120,1180,2370,1255,1588,1765,1630,1742,2434,2338
Tnfsf13b,7,24,15,15,11,5,12,2,4,9,6,9
Gm44789,1,5,9,2,5,1,1,1,1,1,0,5
Gm44788,0,0,0,0,0,0,0,0,0,0,0,0
Myo16,31,23,18,12,23,0,3,4,5,15,34,37
5330413D20Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm44786,0,0,0,1,0,0,0,0,0,1,0,0
Gm44785,0,1,0,0,0,0,0,0,0,2,1,0
Gm44784,0,0,0,0,0,0,0,0,0,0,0,0
Gm45045,1,0,0,0,0,0,0,0,0,0,0,0
Gm39129,0,0,0,0,0,0,0,0,0,0,0,0
Rps16-ps3,0,0,0,0,0,0,0,1,0,0,0,0
Gm32540,0,0,0,0,0,0,0,0,0,0,0,0
B930025P03Rik,0,0,0,0,0,0,0,0,0,0,0,1
Gm45044,0,0,0,0,0,0,0,0,0,0,0,0
Gm2814,0,0,0,0,1,0,0,0,0,0,0,0
4833411C07Rik,1,0,0,0,0,1,0,0,0,1,2,0
3930402G23Rik,29,56,57,34,58,4,10,8,6,48,56,44
Gm45042,5,2,2,0,4,1,1,0,0,2,0,5
Gm44955,0,0,0,0,0,1,0,0,0,2,0,0
Gm44956,2,1,0,0,2,0,0,0,0,1,0,1
Irs2,5298,5292,4615,2419,4925,369,474,412,352,4725,4323,4327
9530052E02Rik,14,5,3,0,4,0,1,2,1,15,6,1
B830042I05Rik,0,0,0,0,0,0,0,0,0,0,1,0
Gm44714,0,0,0,0,0,0,0,0,0,0,0,0
Gm44717,0,0,0,0,0,0,0,0,0,0,0,0
Gm15418,7,5,1,0,4,0,0,0,0,2,6,6
Col4a1,18160,2412,1950,936,2647,528,616,571,446,10862,8547,4512
Gm44716,16,3,1,0,2,0,0,1,4,12,8,11
Col4a2,8740,1058,750,369,1073,229,318,260,243,5283,3781,2038
Gm15419,3,0,0,0,1,0,1,0,1,1,1,2
Rab20,59,129,131,47,86,16,19,22,17,84,64,87
Gm20100,6,6,10,5,6,1,0,2,2,7,2,5
E230013L22Rik,3,6,9,7,6,1,0,1,0,12,5,13
Naxd,1261,1050,914,395,912,480,586,647,505,1158,928,843
Cars2,647,840,766,389,799,664,782,1025,725,593,574,631
Ing1,1835,2532,2107,1162,2523,1249,1498,1761,1525,1857,2033,2057
Ankrd10,4320,5317,4496,2798,5122,2870,3652,4397,3716,3997,4640,4595
Mir7238,0,0,0,0,0,0,0,0,0,0,0,0
Gm45592,51,51,30,18,44,30,37,43,32,53,56,28
1700016D06Rik,5,3,4,1,5,6,4,4,7,5,4,3
Gm7562,1,0,1,1,0,0,3,0,1,2,2,3
4930465I24Rik,0,0,0,0,1,0,0,0,0,0,0,0
Gm7600,2,1,3,2,7,0,2,1,5,1,1,4
Gm6524,7,5,5,1,3,3,3,4,8,6,4,1
Gm27854,0,0,0,0,0,1,0,0,1,0,0,0
1700128E19Rik,0,0,0,0,1,0,0,0,0,1,0,0
Gm45420,0,0,0,0,0,0,0,0,0,0,0,1
Arhgef7,3750,3653,3035,1651,3219,1735,2127,2699,2316,3285,3053,3067
Gm18991,4,10,3,2,12,2,5,7,2,7,3,9
Gm15875,1,4,2,3,4,0,0,1,0,3,2,3
Tex29,7,5,0,2,2,1,0,0,1,1,8,5
Gm39132,0,1,0,0,0,0,0,0,1,1,0,1
Gm45680,0,0,0,0,0,0,0,0,0,0,0,0
B020031H02Rik,0,3,0,0,0,0,1,0,0,0,0,0
A230072I06Rik,0,0,0,1,0,0,0,0,0,0,0,0
Gm29175,0,0,0,0,0,0,0,0,0,0,0,0
Gm33175,0,0,0,0,0,0,0,0,0,0,0,0
Gm22207,0,0,0,0,0,0,0,0,0,0,0,0
Sox1ot,6,53,39,19,57,11,13,13,4,25,22,73
Gm45560,0,1,0,0,1,0,0,0,2,1,2,6
Sox1,93,596,445,220,811,91,78,136,129,640,736,2033
Gm25239,0,0,0,0,0,0,0,0,0,0,0,0
Gm33326,0,0,0,2,1,1,3,3,6,0,1,2
4933439N14Rik,2,47,30,21,54,17,17,17,19,12,10,31
D630011A20Rik,0,0,0,0,0,0,0,2,0,0,0,0
Spaca7,0,4,0,0,0,0,0,0,0,0,0,0
Tubgcp3,3178,3108,2588,1259,2807,1581,1970,2175,2056,3008,2420,2259
Gm26483,6,9,3,0,1,2,1,1,2,3,8,3
4931415C17Rik,10,19,18,9,35,11,10,11,16,19,20,31
Gm15348,0,0,0,0,0,0,0,0,0,0,0,0
Atp11a,2311,2766,2158,663,1691,1538,1777,1889,2198,1899,1198,1401
Gm15350,4,9,6,7,9,6,7,5,7,4,1,6
Gm15347,19,16,9,1,3,4,8,8,12,9,9,11
Mcf2l,649,1446,1232,625,1310,828,1171,1153,1028,735,842,1102
Gm15353,6,12,17,13,29,17,12,23,15,4,14,21
Gm15351,53,75,65,27,66,56,67,70,63,64,61,77
Gm38671,0,0,0,0,0,0,0,0,0,0,0,0
Gm15349,5,9,10,1,2,3,1,1,3,7,5,5
Gm15352,3,4,6,4,3,0,3,0,1,5,2,0
F7,3,7,1,2,4,1,3,1,1,2,1,3
F10,122,1,1,1,2,0,0,1,0,50,55,8
Proz,33,64,70,33,80,31,31,35,25,60,55,48
Gm17023,36,54,35,17,43,30,39,47,34,43,33,39
Pcid2,2099,2683,2247,1221,2627,1769,2068,2502,2287,2170,1992,1877
Gm17022,134,77,74,37,74,60,66,89,54,140,97,72
Cul4a,5977,4947,4342,2444,5073,1779,2238,2394,2410,5288,5042,4347
Mir7065,0,0,0,1,1,0,0,0,0,0,0,0
Lamp1,11872,17330,13690,7267,15178,5774,7404,8563,7881,9202,8644,8884
Grtp1,322,766,645,324,762,626,766,1042,976,373,303,448
Mir1968,2,0,2,0,1,3,0,5,5,0,1,1
2810030D12Rik,3,4,1,2,4,8,23,33,29,4,3,1
Adprhl1,1,12,5,4,8,7,4,6,2,1,1,2
Dcun1d2,730,976,816,454,948,332,517,546,519,687,754,697
E330037G11Rik,18,32,26,17,26,25,16,13,20,12,35,21
Gm25014,5,7,5,3,8,0,3,1,3,5,4,5
9530085L11Rik,123,99,98,29,129,41,46,58,66,98,155,107
Tmco3,994,832,669,340,792,316,341,379,354,779,715,602
Tfdp1,5819,7289,6517,3383,6866,6054,7826,7590,7891,5779,5327,5439
Atp4b,1,7,5,1,8,2,3,0,1,0,1,0
Gm45410,0,0,0,0,0,0,0,0,0,0,0,0
Grk1,1,2,0,0,1,2,0,2,2,1,2,3
Tmem255b,5,4,1,3,6,1,1,0,0,2,9,2
Gas6,1085,339,276,206,373,137,175,234,151,496,592,369
Gm5608,2,3,4,2,6,2,5,8,2,0,3,2
1700029H14Rik,2,5,6,8,4,8,7,6,4,6,2,2
Rasa3,1137,600,527,307,543,357,409,471,469,972,896,739
Cfap97d2,3,3,4,1,2,3,0,1,1,4,7,19
Gm7669,2,2,1,2,1,1,0,2,1,0,2,2
Cdc16,5422,4274,3814,2136,4380,2517,3056,3070,3079,4695,4332,3535
Upf3a,1450,1843,1486,853,1787,1011,1294,1606,1099,1514,1372,1342
AF366264,0,2,1,0,2,4,2,4,1,1,0,0
