,MD-R-EB-1,MD-R-EB-2,MD-R-EB-3,MD-R-EB-4,MD-R-EB-5,MD-R-EB-6,MD-R-EB-7,MD-R-EB-8,MD-R-EB-9,MD-R-EB-10,MD-R-EB-11,MD-R-EB-12
Gm34198,0,0,0,0,0,0,0,0,0,0,0,0
Ptgdr,0,0.0318,0,0,0,0,0,0,0,0.0371,0,0
Gm16976,0,0.0177,0,0.0752,0,0.0302,0.0239,0.0617,0,0,0,0
Gm18524,0,0,0,0,0,0,0,0,0,0,0,0
Gm49148,0,0,0,0,0,0,0,0,0,0,0,0
Gm49147,0,0,0,0,0,0,0,0,0,0,0,0
Mir327,0,0,0,0,0,0,0,0,0,0,0,0
4930431P03Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm49364,0,0,0,0,0,0,0,0,0.0314,0,0,0
Gm17173,0,0.0326,0,0,0.0332,0.1668,0,0.0757,0.1911,0,0,0
Ptger2,0.0662,0.0586,0.0224,0.3735,0.1194,0.5332,0.4491,0.7486,1.0025,0.0228,0.0489,0.1743
Gm49180,0,0,0,0,0,0,0,0,0,0,0,0
Gm21010,0,0,0,0,0,0,0.1067,0,0,0,0,0
Gm49181,0,0,0,0,0,0,0,0,0,0,0,0
Gm49183,0,0,0,0,0,0,0,0,0,0,0,0
Gm49184,0,0,0,0,0,0,0,0,0,0,0,0
Txndc16,5.2477,3.7346,4.0675,5.0105,4.8855,1.6005,1.4467,2.0262,2.3013,5.3114,6.8049,6.1677
Gm15765,0.2518,0.6688,0.128,0.4736,0.4542,0,0.1508,0.1295,0.1635,0.3896,0.5582,0.5682
Gpr137c,1.1357,0.7512,0.6371,0.9086,0.8714,0.5719,0.5628,0.7651,0.9153,1.7102,2.648,1.9886
Gm49194,0.0777,0,0.1581,0.1462,0,0,0.1862,0,0.2018,0.0802,0.3446,0.4385
Ero1l,69.3424,35.0448,31.2986,34.6604,36.4077,50.265,50.4648,62.4793,91.2194,63.9302,116.8482,63.9897
Psmc6,171.0855,210.8634,209.0323,231.4628,241.5346,244.5038,251.5627,253.4559,360.5179,185.5781,249.8738,234.8991
Styx,3.3765,6.1109,5.15,5.5912,5.2917,6.1295,5.7511,5.6823,7.9118,3.0075,5.685,5.2031
Gnpnat1,1.0403,1.4567,1.2793,0.7737,1.7023,1.133,1.0141,1.0201,0.8168,1.0982,0.8582,1.0921
Gm25353,0,0,1.9254,0,0,0,0,0,0,0,0,0
Gm34250,0,1.2093,0.3472,0.3212,0,1.0317,0.8179,1.2289,0.4434,0.1761,0,0
Fermt2,90.7028,76.3413,70.9565,67.504,69.8738,92.6822,90.2033,94.6104,136.6563,86.0553,87.7736,77.3762
Gm22637,3.2384,2.8673,0.8232,2.2845,2.5561,0.6115,1.4544,1.6651,2.6281,5.4287,2.6923,1.8272
9630050E16Rik,1.2624,1.2132,1.1272,0.5792,1.0416,0.9536,0.9772,0.6966,0.9995,1.0164,1.8943,1.3899
4930527F14Rik,0,0,0.2591,0.3195,0.2298,0.5132,0.7119,0.1747,0.5513,0.2628,0.0941,0.0958
Gm41144,0,0.0932,0.1071,0.1981,0,0.1591,0,0.1083,0.6836,0.3259,0,0
Gm5206,0,0.5162,0,0,0,1.7614,0.6982,0.7494,0.757,0,0,0.1645
Gm49123,0.1107,0.196,0.2251,0.4164,0.0998,0.8361,1.3256,0.7967,1.5809,0,0,0
Gm15601,1.4045,1.7128,1.6976,1.5952,1.7211,1.3211,1.1425,1.199,1.2731,1.4215,2.3206,1.4952
Gm49124,0,0.461,1.059,0,1.1743,0.3933,0.9354,0.8032,0,0,0.2886,0.2938
Ddhd1,6.7225,7.1771,6.1985,5.7566,6.2842,4.795,5.0293,4.7788,8.0313,6.1037,7.1271,5.8227
Gm49125,3.9808,4.9344,4.0478,2.829,4.1495,3.4746,2.2248,3.6387,2.9865,4.5629,4.7069,4.2926
Mir5131,0,0,0,0,0,0,0,0,0,0,0,0
A530076I17Rik,0.0306,0,0.0934,0.1152,0.0276,0,0,0.0315,0.1192,0.0947,0.2714,0.1036
Gm7206,0,0.1997,0,0,0,0.3407,0,0,0,0,0,0
Gm15516,0,0.5255,0.6036,0,0,0,0,0,0,0,0,0
Gm15218,0,0,0,0,0,0,0,0,0,0,0,0
Gm8317,0.4865,0,0,0.4576,0.6582,0.3674,0,0.7503,1.8949,0.2509,0.2696,0.2745
Gm15220,0,0,0,0,0,0,0,0,0,0,0,0
Gm46475,0,0,0,0,0,0,0,0,0,0,0,0
Gm49192,0,0,0,0,0,0,0,0,0,0,0,0
Gm6580,0,0.2242,0.3434,0.1588,0.4569,0.3826,0.2022,0.6077,0.6577,0.2613,0.3743,0.5716
Gm37257,0,0,0,0,0,0,0,0,0.4149,0,0,0
Ubb-ps,0.471,0.1042,0.2394,0.443,0.4248,0.5336,0.705,0.4843,0.1529,0.7287,0.3915,0.1329
Gm15217,8.2493,0.589,1.2176,0.2503,0.7201,4.824,2.3902,3.2837,2.937,6.5883,3.8347,0.4504
Bmp4,178.6165,16.7847,14.1464,6.1354,5.2404,88.1479,79.6437,71.4786,103.4889,116.6536,54.7946,10.2938
Gm15222,28.1852,1.495,1.4528,0.1222,0.3515,7.1619,5.8331,4.0737,6.1557,18.8254,9.3585,1.6856
Gm15221,0,0,0,0,0,0,0,0,0,0,0,0
Gm48910,0,0,0,0,0,0,0,0,0,0,0,0
Gm48911,0,0,0,0,0,0,0,0,0,0,0,0
Gm34756,0,0,0,0,0,0,0,0,0,0,0,0
Gm48912,0,0,0,0,0,0,0,0,0,0,0,0
Gm49319,0,0,0.0297,0,0,0,0,0,0,0.0603,0,0
E130120K24Rik,3.0906,0,0,0,0.1859,0,0,0,0,1.7004,0.6852,0.2325
Rubie,0.8185,0.063,0.0362,0,0,0,0,0,0,0.8811,0.1972,0
4933425B07Rik,0.0535,0,0,0,0,0,0,0,0,0.1104,0,0
Gm18761,0,0,0,0,0,0,0.1271,0,0,0,0.1177,0
D330046F09Rik,0,0,0,0,0,0,0,0,0.1388,0,0,0
Gm48917,0,0,0,0,0,0,0,0,0,0,0,0
Gm48924,0,0,0.1025,0,0,0.0761,0,0,0,0,0.0559,0
Cdkn3,15.703,11.9355,11.3491,12.5432,13.8597,9.1969,11.9778,11.5269,13.0492,13.4078,16.871,14.0126
Cnih1,118.7237,119.3039,119.9331,143.9364,139.8209,92.236,85.4613,91.9636,121.8035,113.2995,176.9851,148.3924
Gm48933,3.3169,1.1295,0.7783,0.9599,1.6111,0.7709,0.4583,0.3936,0.4969,1.7108,1.9798,1.7275
Gm48939,3.0102,1.8606,2.2524,1.6027,1.9981,1.2012,0.6802,0.8177,1.475,2.6952,3.085,1.7946
Gmfb,56.5933,103.6532,94.3954,108.1939,119.7804,71.0051,69.2989,62.568,82.8724,50.5244,115.3357,105.0035
Gm10101,1.3736,0.2085,0.4789,0.2215,0.4956,0.4743,0.235,0.0404,0.3567,0.7692,1.4356,0.8858
Cgrrf1,11.7094,5.9052,5.5544,8.0048,8.7657,2.5075,2.7829,2.6999,3.4092,10.8029,11.1064,9.4335
Gm48949,3.7729,1.8221,1.3951,0,2.1658,1.0363,0.8215,0.7054,0.8907,4.9536,3.2317,3.0964
Gm34934,0.2689,0.1082,0.174,0.138,0.1103,0,0.0586,0,0.0952,0.3279,0.3252,0.4138
Samd4,6.7746,4.5806,5.4625,3.0367,4.4997,1.3193,1.3469,0.6395,0.9965,6.7838,5.6028,5.9278
2810457G06Rik,0.3352,0.2226,0.1704,0,0,0,0,0,0,0.2594,0.1858,0.1891
Gm48958,0.8117,0.8555,0.7467,0.5817,0.8019,0.3503,0.0926,0.0795,0.0502,1.0366,0.8569,0.8723
Mir378c,0,0,0,0,1.0438,0,0,0,0,0,0,0
Gm15562,0.2689,0,0.5469,0,0.2426,0,0,0,0,0.2774,0,0.3035
Gm10371,0.2169,0.384,0.2756,0,0.1956,0,0.2597,0.1673,0,0.1119,0.0601,0.3059
Gm49132,0.0829,0.0734,0,0.052,0.0499,0,0,0,0,0,0.0306,0.0936
Gch1,2.2175,2.8234,2.5903,2.0341,2.1325,0.8583,1.0535,1.1119,1.0708,1.5313,2.0112,1.5511
Gm49134,0,0.3931,1.3545,0,0.8011,0,0,0,1.1531,1.3742,0,0.5011
Gm18811,0,0.3055,0,0,0.4669,0,0.2066,0,0,0.356,0.3825,0
Gm49136,0,0,0,0,0,0,0,0,0,0,0,0
Gm49137,0,0,0,0,0,0,0,0,0,0,0,0
Wdhd1,59.0956,59.0997,56.334,59.6168,64.992,64.1949,58.9364,62.5645,82.2581,59.6921,60.2886,62.3071
Gm49149,0.3227,2,4.5939,1.8212,2.0376,2.925,0.3865,1.3274,2.9331,0.3329,1.0731,1.0925
Gm24378,7.5652,9.5689,7.6926,0,13.6484,4.898,2.5886,2.2227,7.0164,5.5744,4.792,6.0979
Gm49150,0,0,0,0,0,0,0,0,0,0,0,0
Socs4,22.8719,24.9999,24.8153,26.0412,29.3318,24.6621,23.82,22.6973,32.0555,21.4119,33.9398,29.5509
Gm9502,0.3321,2.058,1.1255,0.8329,0.2995,1.5049,1.193,1.3658,1.4372,1.0276,1.4723,0.6245
Mapk1ip1l,95.8933,93.8992,86.8403,92.2709,94.2598,86.4062,83.1588,79.7122,115.2221,94.5709,111.7525,106.2986
Gm49189,12.2196,15.2628,8.8753,16.83,15.9435,9.8893,12.8048,8.7511,9.9166,10.8049,15.7223,16.9905
Gm49190,0,0,0,0,0,0,0,0,0,0,0,0
Lgals3,10.79,19.3798,14.4826,9.1631,9.7887,24.7764,21.4874,27.5805,23.297,10.5584,3.1439,6.3316
Dlgap5,64.4764,76.3596,70.4063,72.7432,77.2792,97.4287,95.4415,92.3385,122.5619,69.8475,66.6011,66.8701
Gm8353,0.5304,0.2348,0.2696,0.4989,0.4784,0.4006,0.9527,1.0908,0.3443,0.5471,0.294,0.2992
Gm48975,0.1646,1.1659,0.1674,0.1548,0.8166,1.2433,1.0842,0.5078,0.8549,0.3396,0.2737,0.4644
Fbxo34,20.1517,23.6077,22.2077,25.9616,24.8252,19.6745,18.4531,18.4903,21.5729,21.3965,21.6548,23.3452
